stream,gender,log_quo,read_sk,hsc score,sports_in,sports_ac,arts_in,arts_rel,teach_sk,comm_sk,stage_in,lead,lead_m,chem_in,chem_sk,tech_in,tech_sh,tech_s_s,tech_h_s,bio_in,bio_class,bio_pr,fam_bus,fam_biz,pub_serv,maths_sk,visual,career
bio,female,2,7,218,yes,2,yes,literature,0,7,no,8,5,yes,10,no,0,0,0,yes,medical,veterinary,yes,enterprise,6,2,2,Chemical Engineering
none,other,3,6,285,no,0,no,0,3,5,yes,5,8,no,0,no,0,0,0,no,0,0,no,0,10,4,5,UPSC/GPSC etc.
arts,female,1,0,28,no,0,yes,tourism,5,5,yes,3,1,no,0,yes,hardware,0,0,yes,nutritionist,dental,no,0,10,5,4,Medicine and Nutrition
commerce,female,6,3,459,no,0,no,0,6,5,no,10,7,yes,8,yes,software,0,0,no,0,0,no,0,3,4,4,Marketing Management
none,male,9,4,343,no,0,no,0,7,5,yes,5,6,no,0,no,0,0,0,no,0,0,yes,construction,10,10,1,Business/Industrial Mngmnt.
arts,male,3,9,176,yes,2,no,0,5,1,no,5,4,yes,5,yes,software,0,0,yes,nutritionist,veterinary,yes,agriculture,8,8,5,Medicine and Nutrition
none,male,9,9,403,no,0,no,0,9,0,yes,9,8,no,0,yes,software,0,0,yes,medical,physician,yes,enterprise,8,4,9,Marketing Management
arts,male,7,6,475,no,0,no,0,2,8,yes,4,9,no,0,yes,hardware,0,0,no,0,0,no,0,10,4,7,UPSC/GPSC etc.
arts,female,0,2,79,no,0,yes,music,5,3,yes,1,2,yes,7,yes,hardware,0,0,yes,nutritionist,orthopaedic,no,0,3,4,1,Chemical Engineering
none,other,9,10,347,no,0,yes,theatre,6,10,yes,7,4,yes,2,no,0,0,0,no,0,0,no,0,1,7,9,Theatre & Tourism
maths,female,5,9,245,no,0,no,0,3,8,yes,2,9,no,0,no,0,0,0,no,0,0,yes,construction,7,1,6,Business/Industrial Mngmnt.
bio,other,5,6,57,no,0,no,0,10,7,no,9,8,yes,3,no,0,0,0,yes,nutritionist,orthopaedic,no,0,4,8,9,Teaching
none,other,2,3,229,no,0,no,0,7,6,yes,5,5,no,0,no,0,0,0,yes,nutritionist,physician,yes,construction,5,3,3,Teaching
arts,male,5,3,298,no,0,yes,tourism,9,0,no,7,10,no,0,yes,hardware,0,0,yes,nutritionist,pediatrician,yes,enterprise,7,3,4,Marketing Management
none,other,5,0,162,yes,2,yes,literature,1,0,yes,4,3,yes,8,yes,software,0,0,no,0,0,no,0,2,1,8,Chemical Engineering
commerce,female,9,6,362,no,0,yes,literature,3,1,no,10,5,no,0,yes,hardware,0,0,yes,nutritionist,physician,no,0,5,3,2,Medicine and Nutrition
commerce,female,8,8,500,no,0,no,0,9,1,yes,7,10,no,0,no,0,0,0,yes,nutritionist,pediatrician,yes,agriculture,1,1,8,Marketing Management
arts,other,4,8,102,no,0,no,0,7,10,yes,2,9,no,0,no,0,0,0,yes,nutritionist,pediatrician,no,0,7,9,1,Teaching
arts,other,1,8,220,no,0,no,0,10,1,no,7,7,yes,6,no,0,0,0,no,0,0,yes,agriculture,1,6,5,Marketing Management
maths,other,3,8,189,yes,3,yes,music,1,5,no,7,1,no,0,yes,software,0,0,no,0,0,no,0,10,4,1,UPSC/GPSC etc.
arts,other,1,4,242,no,0,yes,tourism,5,7,yes,9,1,no,0,no,0,0,0,no,0,0,no,0,3,1,7,Graphics & Designing
maths,male,7,6,357,no,0,no,0,9,2,yes,4,6,no,0,no,0,0,0,yes,medical,physician,no,0,6,10,5,Medicine and Nutrition
arts,female,5,7,175,yes,5,no,0,3,1,yes,5,5,no,0,no,0,0,0,yes,medical,pediatrician,no,0,6,9,8,Sports Science
arts,male,8,9,395,no,0,no,0,4,7,yes,2,9,no,0,no,0,0,0,yes,nutritionist,orthopaedic,no,0,8,10,2,Medicine and Nutrition
arts,female,10,7,379,yes,4,yes,music,6,2,yes,7,9,no,0,yes,software,0,0,yes,medical,dental,yes,construction,3,4,6,Sports Science
arts,other,5,6,248,yes,2,yes,tourism,7,6,no,1,6,no,0,no,0,0,0,yes,nutritionist,dental,yes,construction,2,1,5,Teaching
maths,female,3,8,238,no,0,yes,music,2,5,yes,7,2,no,0,no,0,0,0,yes,medical,orthopaedic,yes,enterprise,8,3,8,Medicine and Nutrition
maths,female,8,2,403,no,0,yes,theatre,10,7,yes,8,5,yes,2,yes,software,0,0,no,0,0,no,0,3,1,2,Theatre & Tourism
commerce,male,7,7,371,no,0,yes,tourism,0,0,yes,2,9,yes,7,yes,software,0,0,no,0,0,no,0,2,4,2,Chemical Engineering
arts,other,2,0,265,no,0,yes,theatre,5,7,yes,7,6,no,0,no,0,0,0,no,0,0,yes,enterprise,5,6,9,Theatre & Tourism
maths,female,10,1,359,no,0,no,0,6,9,no,4,9,yes,10,yes,hardware,0,0,no,0,0,no,0,3,2,6,Chemical Engineering
none,female,7,2,369,no,0,yes,music,4,3,yes,5,5,yes,9,yes,hardware,0,0,yes,medical,orthopaedic,no,0,5,5,3,Chemical Engineering
arts,other,0,5,118,yes,1,yes,tourism,10,6,yes,1,8,yes,10,no,0,0,0,yes,medical,veterinary,no,0,4,9,4,Teaching
none,female,9,9,441,yes,3,no,0,10,10,no,8,6,yes,9,yes,hardware,0,0,no,0,0,no,0,10,3,10,Teaching
commerce,male,7,9,359,yes,2,no,0,8,3,no,8,9,yes,7,yes,hardware,0,0,no,0,0,no,0,6,7,8,Marketing Management
arts,male,1,4,113,yes,3,yes,tourism,3,8,no,5,8,no,0,no,0,0,0,yes,medical,pediatrician,yes,construction,2,9,5,Medicine and Nutrition
none,female,2,10,184,yes,3,yes,theatre,5,2,no,9,6,yes,5,yes,hardware,0,0,no,0,0,no,0,2,9,9,Theatre & Tourism
commerce,other,10,1,421,yes,5,no,0,3,8,yes,4,3,yes,10,yes,software,0,0,no,0,0,yes,industrial,8,6,7,Sports Science
arts,other,2,9,222,no,0,no,0,0,9,yes,1,6,no,0,no,0,0,0,no,0,0,yes,enterprise,4,10,3,Business/Industrial Mngmnt.
arts,male,2,4,318,yes,5,yes,literature,2,1,no,5,4,yes,6,no,0,0,0,no,0,0,yes,industrial,10,10,1,Sports Science
none,female,7,8,452,no,0,yes,fineart,0,0,yes,3,6,no,0,no,0,0,0,yes,medical,pediatrician,no,0,4,10,5,Medicine and Nutrition
none,other,9,4,492,no,0,yes,literature,3,2,yes,6,5,no,0,no,0,0,0,yes,medical,physician,no,0,7,8,5,Medicine and Nutrition
bio,female,9,2,468,yes,1,yes,music,0,1,yes,9,7,no,0,yes,software,0,0,no,0,0,no,0,5,3,2,Marketing Management
maths,male,6,4,453,no,0,yes,music,9,0,yes,6,8,yes,7,yes,software,0,0,no,0,0,no,0,9,3,8,Chemical Engineering
bio,female,8,8,432,yes,1,yes,theatre,5,0,no,6,8,no,0,no,0,0,0,yes,medical,dental,yes,industrial,9,1,9,Theatre & Tourism
maths,male,7,1,450,yes,3,yes,tourism,3,5,yes,4,3,yes,4,no,0,0,0,no,0,0,no,0,7,3,6,UPSC/GPSC etc.
commerce,female,9,5,376,no,0,no,0,7,6,yes,6,10,yes,5,yes,hardware,0,0,no,0,0,yes,enterprise,3,8,6,Teaching
none,other,0,1,291,yes,2,yes,theatre,1,3,yes,2,1,no,0,no,0,0,0,yes,nutritionist,dental,yes,enterprise,10,6,3,Theatre & Tourism
commerce,female,9,6,365,yes,2,no,0,2,7,no,6,5,yes,10,yes,software,0,0,yes,nutritionist,pediatrician,no,0,8,6,10,Chemical Engineering
maths,male,9,8,370,yes,2,yes,fineart,10,7,yes,10,9,no,0,no,0,0,0,no,0,0,yes,construction,5,7,8,Teaching
maths,female,7,5,394,no,0,no,0,4,8,yes,8,1,no,0,no,0,0,0,yes,medical,orthopaedic,no,0,7,5,8,Medicine and Nutrition
commerce,male,6,4,422,yes,2,yes,literature,5,0,yes,7,4,yes,10,no,0,0,0,no,0,0,no,0,1,7,1,Chemical Engineering
commerce,male,3,4,143,yes,4,yes,music,9,7,yes,9,1,no,0,yes,hardware,0,0,yes,nutritionist,pediatrician,no,0,10,8,2,Sports Science
commerce,female,1,1,138,yes,3,no,0,1,10,yes,5,1,yes,5,no,0,0,0,yes,medical,pediatrician,yes,industrial,6,5,4,Medicine and Nutrition
bio,male,3,2,233,no,0,yes,music,4,4,no,9,9,no,0,yes,software,0,0,no,0,0,yes,enterprise,9,4,5,Marketing Management
none,female,2,0,243,no,0,yes,theatre,10,3,no,9,10,no,0,no,0,0,0,yes,medical,orthopaedic,no,0,3,10,2,Theatre & Tourism
commerce,other,5,7,37,yes,2,yes,fineart,0,9,yes,7,10,yes,10,no,0,0,0,yes,nutritionist,dental,yes,enterprise,7,7,3,Marketing Management
commerce,male,6,3,348,yes,3,yes,theatre,1,8,no,10,4,yes,3,no,0,0,0,no,0,0,yes,enterprise,3,3,6,Theatre & Tourism
none,other,0,0,29,no,0,no,0,1,8,yes,2,5,no,0,no,0,0,0,no,0,0,no,0,3,7,8,CA/CS/Banking
commerce,other,10,2,440,no,0,no,0,3,2,no,4,5,no,0,yes,software,0,0,no,0,0,yes,construction,4,2,9,Business/Industrial Mngmnt.
arts,other,4,6,51,no,0,no,0,8,6,no,6,8,yes,5,no,0,0,0,no,0,0,yes,agriculture,1,4,4,Teaching
bio,male,0,8,275,yes,5,yes,literature,0,3,yes,7,8,no,0,yes,hardware,0,0,no,0,0,no,0,10,8,1,Sports Science
commerce,other,4,0,23,no,0,no,0,7,6,yes,8,7,no,0,no,0,0,0,yes,medical,orthopaedic,no,0,2,10,8,Teaching
maths,male,7,7,391,yes,1,yes,literature,0,3,yes,8,9,no,0,yes,software,0,0,no,0,0,yes,construction,4,3,6,Marketing Management
maths,male,8,5,359,yes,1,yes,music,4,6,no,5,5,yes,7,yes,software,0,0,no,0,0,yes,agriculture,9,1,7,Chemical Engineering
none,male,10,3,489,no,0,yes,fineart,0,5,no,9,2,yes,10,no,0,0,0,no,0,0,yes,agriculture,10,5,8,Chemical Engineering
bio,other,0,4,197,no,0,no,0,3,9,no,6,8,no,0,no,0,0,0,no,0,0,yes,industrial,4,3,6,Business/Industrial Mngmnt.
maths,female,8,7,390,yes,4,no,0,5,7,yes,8,3,yes,8,no,0,0,0,yes,medical,dental,yes,enterprise,2,10,2,Sports Science
arts,other,1,2,291,yes,5,yes,tourism,0,10,yes,8,4,yes,2,yes,hardware,0,0,no,0,0,no,0,8,2,3,Sports Science
maths,other,10,9,387,yes,4,yes,fineart,2,10,no,7,8,yes,10,yes,hardware,0,0,no,0,0,no,0,9,2,8,Sports Science
maths,other,6,8,449,no,0,yes,literature,9,0,no,3,8,no,0,no,0,0,0,yes,medical,orthopaedic,yes,construction,8,7,8,Medicine and Nutrition
commerce,male,5,1,94,no,0,no,0,10,2,no,9,8,no,0,yes,hardware,0,0,yes,medical,veterinary,no,0,10,7,7,Marketing Management
none,female,5,1,111,no,0,no,0,4,9,no,8,8,yes,5,yes,software,0,0,no,0,0,yes,enterprise,5,2,4,Marketing Management
none,female,7,3,445,no,0,no,0,10,9,no,6,5,yes,4,yes,software,0,0,no,0,0,yes,enterprise,3,9,10,Teaching
arts,other,5,4,321,no,0,no,0,3,5,no,4,5,yes,8,no,0,0,0,yes,medical,physician,yes,enterprise,2,2,1,Chemical Engineering
arts,male,5,6,184,yes,5,no,0,9,3,no,7,2,no,0,no,0,0,0,no,0,0,yes,industrial,9,6,1,Sports Science
bio,male,8,9,332,yes,5,yes,literature,3,0,yes,3,8,yes,10,no,0,0,0,no,0,0,no,0,7,6,6,Sports Science
none,female,6,6,441,yes,2,yes,music,2,8,yes,9,6,no,0,yes,software,0,0,no,0,0,yes,enterprise,6,8,8,Marketing Management
commerce,female,2,7,192,no,0,yes,theatre,3,6,no,2,2,yes,2,no,0,0,0,yes,medical,orthopaedic,no,0,9,10,2,Theatre & Tourism
arts,female,7,0,372,no,0,no,0,1,0,no,9,7,no,0,no,0,0,0,yes,medical,orthopaedic,yes,enterprise,10,6,6,Marketing Management
bio,other,9,2,440,no,0,no,0,3,8,no,9,4,no,0,yes,hardware,0,0,yes,medical,physician,no,0,7,3,1,Medicine and Nutrition
maths,female,6,0,460,no,0,yes,tourism,10,4,yes,3,3,no,0,no,0,0,0,yes,nutritionist,dental,yes,agriculture,5,7,3,Medicine and Nutrition
arts,other,4,5,295,no,0,yes,literature,5,10,no,2,3,no,0,yes,software,0,0,yes,medical,orthopaedic,yes,industrial,9,1,3,Medicine and Nutrition
none,other,5,3,218,no,0,no,0,4,5,yes,8,6,no,0,no,0,0,0,no,0,0,no,0,9,9,2,Marketing Management
bio,male,9,3,388,yes,3,yes,theatre,3,1,yes,9,4,no,0,no,0,0,0,no,0,0,no,0,10,1,4,Theatre & Tourism
bio,male,10,7,496,yes,2,yes,theatre,10,7,yes,4,1,yes,2,yes,software,0,0,yes,nutritionist,veterinary,no,0,1,5,2,Theatre & Tourism
bio,other,8,5,337,no,0,yes,fineart,1,10,no,4,8,no,0,no,0,0,0,yes,nutritionist,pediatrician,no,0,7,6,5,Medicine and Nutrition
arts,female,10,4,478,no,0,yes,music,4,9,no,8,4,no,0,no,0,0,0,no,0,0,no,0,8,4,3,UPSC/GPSC etc.
maths,other,0,5,166,no,0,no,0,9,10,yes,9,8,yes,10,no,0,0,0,no,0,0,no,0,5,1,7,Teaching
none,other,6,1,405,no,0,yes,music,10,5,no,6,2,yes,2,yes,hardware,0,0,yes,nutritionist,physician,yes,enterprise,9,8,8,Medicine and Nutrition
maths,female,2,9,31,no,0,no,0,8,8,yes,8,2,yes,9,no,0,0,0,no,0,0,yes,industrial,2,5,10,Teaching
arts,male,3,2,55,yes,1,no,0,10,5,no,10,7,no,0,yes,software,0,0,no,0,0,yes,agriculture,10,7,2,Marketing Management
bio,female,5,10,315,yes,2,no,0,8,9,yes,7,5,no,0,no,0,0,0,yes,medical,dental,yes,industrial,1,7,9,Teaching
commerce,male,5,10,12,no,0,no,0,0,8,yes,6,9,no,0,no,0,0,0,yes,medical,pediatrician,yes,industrial,3,2,4,Medicine and Nutrition
commerce,male,9,1,499,no,0,yes,literature,3,2,yes,2,8,yes,4,no,0,0,0,no,0,0,yes,enterprise,2,5,8,Business/Industrial Mngmnt.
commerce,male,1,7,250,yes,3,no,0,2,3,no,8,3,yes,4,yes,software,0,0,yes,nutritionist,dental,yes,agriculture,6,1,2,Medicine and Nutrition
none,male,10,7,494,yes,2,yes,literature,4,8,yes,9,5,no,0,yes,hardware,0,0,no,0,0,yes,construction,5,4,6,Business/Industrial Mngmnt.
none,male,4,9,156,yes,4,yes,fineart,4,0,yes,9,6,yes,1,no,0,0,0,yes,medical,orthopaedic,yes,agriculture,1,3,6,Sports Science
commerce,female,4,2,329,yes,1,no,0,4,9,yes,9,6,yes,8,yes,software,0,0,yes,medical,dental,no,0,5,1,8,Marketing Management
commerce,male,5,4,185,no,0,no,0,10,3,no,9,3,no,0,yes,software,0,0,yes,nutritionist,orthopaedic,no,0,10,10,9,Medicine and Nutrition
arts,female,1,2,150,no,0,yes,tourism,6,1,no,2,8,yes,10,yes,software,0,0,yes,medical,physician,yes,enterprise,1,2,4,Chemical Engineering
none,female,7,5,398,yes,2,yes,tourism,9,9,yes,4,8,yes,4,no,0,0,0,no,0,0,no,0,1,4,6,Teaching
commerce,other,8,1,476,no,0,no,0,1,4,no,5,2,yes,1,yes,software,0,0,yes,nutritionist,veterinary,yes,industrial,4,6,6,Medicine and Nutrition
commerce,other,7,0,413,yes,2,yes,tourism,10,9,no,8,6,yes,9,yes,software,0,0,no,0,0,yes,enterprise,5,5,1,Teaching
maths,other,2,5,121,no,0,no,0,6,3,no,4,9,no,0,no,0,0,0,yes,medical,orthopaedic,no,0,6,9,3,Medicine and Nutrition
maths,other,2,9,164,yes,2,yes,theatre,10,7,no,2,3,no,0,no,0,0,0,no,0,0,yes,construction,3,2,8,Theatre & Tourism
maths,female,4,4,321,no,0,no,0,2,0,yes,8,10,no,0,yes,hardware,0,0,yes,medical,orthopaedic,no,0,1,5,6,Marketing Management
none,female,4,2,23,no,0,no,0,4,2,no,4,3,no,0,no,0,0,0,yes,medical,pediatrician,yes,agriculture,5,4,6,Medicine and Nutrition
maths,other,8,7,359,no,0,no,0,2,8,yes,3,3,yes,9,yes,hardware,0,0,yes,medical,veterinary,yes,construction,5,2,3,Chemical Engineering
commerce,male,4,1,267,yes,3,no,0,0,6,no,4,7,no,0,yes,software,0,0,no,0,0,no,0,7,7,7,UPSC/GPSC etc.
commerce,female,2,10,113,yes,2,no,0,10,1,yes,4,7,yes,3,yes,hardware,0,0,no,0,0,yes,enterprise,4,5,9,Business/Industrial Mngmnt.
bio,male,10,1,418,yes,1,yes,literature,4,7,no,7,8,yes,3,yes,software,0,0,yes,medical,pediatrician,yes,industrial,1,6,1,Marketing Management
commerce,other,0,4,316,no,0,no,0,6,0,yes,1,7,no,0,no,0,0,0,yes,nutritionist,dental,yes,construction,1,6,5,Medicine and Nutrition
arts,male,9,4,418,no,0,yes,fineart,5,7,yes,6,9,yes,6,yes,hardware,0,0,yes,nutritionist,physician,yes,enterprise,7,7,7,Medicine and Nutrition
maths,female,8,0,469,no,0,yes,tourism,10,2,yes,9,10,yes,3,no,0,0,0,no,0,0,no,0,8,9,3,Marketing Management
maths,male,8,8,357,no,0,no,0,8,8,no,2,3,yes,8,yes,hardware,0,0,no,0,0,no,0,4,3,5,Teaching
commerce,male,6,6,340,no,0,no,0,3,10,no,10,10,no,0,no,0,0,0,no,0,0,yes,agriculture,8,7,8,Marketing Management
commerce,female,5,5,149,yes,2,yes,music,3,9,yes,2,10,yes,6,no,0,0,0,yes,nutritionist,orthopaedic,no,0,6,4,7,Medicine and Nutrition
none,male,10,0,343,no,0,yes,fineart,3,4,yes,2,6,no,0,yes,hardware,0,0,no,0,0,no,0,10,10,5,UPSC/GPSC etc.
bio,other,7,7,486,yes,5,yes,music,6,10,yes,8,3,yes,2,no,0,0,0,yes,nutritionist,orthopaedic,no,0,1,7,1,Sports Science
arts,other,4,1,241,no,0,no,0,1,0,yes,10,6,yes,6,yes,software,0,0,no,0,0,no,0,9,1,8,Marketing Management
arts,female,8,4,374,yes,5,yes,fineart,2,8,yes,3,1,no,0,no,0,0,0,no,0,0,no,0,10,3,5,Sports Science
maths,male,9,6,394,no,0,yes,literature,7,4,no,10,8,no,0,yes,hardware,0,0,yes,nutritionist,pediatrician,no,0,2,7,1,Marketing Management
